Location,LatDegrees,LatMinutes,LatSeconds,Lat,LngDegrees,LngMinutes,LngSeconds,Lng,Desciption,Material,Al,Si,Fe,Ti,Zr,Mn,K ,Ca,Pb,Zn,P,S,V,Cr,Ni,As,Se,Rb,Sr,Y,Nb,Sn,Ba,Ta,Th,U,Sc
MT GLADSTONE,36,15,7.82,-36.2522,149,4,43.59,149.0788,Surface scatter,GNEISS,NO DATA,NO DATA,2.92,2516,189,161,0.96,<LOD,6.1,42.5,251,<LOD,33,39,<LOD,<LOD,6.8,104.9,9,30.8,21.6,12,252,15,12.3,<LOD,<LOD
MT GLADSTONE,36,15,7.82,-36.2522,149,4,43.59,149.0788,Surface scatter,QUARTZ,<LOD,49.09,0.14,201,<LOD,<LOD,0.13,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD
MT GLADSTONE,36,15,7.82,-36.2522,149,4,43.59,149.0788,Surface scatter,BIOTITE,NO DATA,NO DATA,3.54,4211,90,400,3.36,<LOD,21,56,537,<LOD,99,92,<LOD,<LOD,<LOD,199,45,21,18.5,<LOD,898,28,9.7,<LOD,<LOD
MT GLADSTONE,36,15,7.82,-36.2522,149,4,43.59,149.0788,Surface scatter,FLINT,7.87,19.57,5.22,<LOD,0.01,<LOD,3.2,<LOD,38,82,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,219,42,18,,<LOD,861,69,11,<LOD,<LOD
MIDDLINGBANK,36,15,21.16,-36.2559,148,47,24.5,148.7901,Road cutting,SEDIMENTARY ROCK,8.47,25.77,5.63,4690,171,134,13884,<LOD,<LOD,16.2,422,<LOD,81,65,<LOD,6.8,8.2,51.5,14.1,16.6,11.9,<LOD,547,30,9.8,9.6,<LOD
MIDDLINGBANK,36,15,21.16,-36.2559,148,47,24.5,148.7901,Road cutting,GRANITE,2.13,45.84,0.25,1302,53.4,24,2776,417,30.3,9.6,<LOD,110,119,52,<LOD,7.4,<LOD,40.6,20.9,20.7,8.4,10,519,<LOD,3.8,<LOD,<LOD
ARABLE ROAD,36,20,36.93,-36.3436,148,58,10.57,148.9696,Surface Scatter,BASALT,4.52,33.05,4.6,4023,162,789,4479,19220,6.5,47,403,<LOD,63,238,18,<LOD,10.4,29.1,139,32.2,14.5,<LOD,237,24,13.3,11,165
ARABLE ROAD,36,20,36.93,-36.3436,148,58,10.57,148.9696,Outcrop,GRANITE,4.31,34.76,3.26,<LOD,0.01,<LOD,0.8,1.78,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0,0.01,0,,<LOD,0.03,<LOD,0,<LOD,<LOD
ARABLE ROAD,36,20,36.93,-36.3436,148,58,10.57,148.9696,Surface Scatter,BLACK ROCK,7.09,11.95,15.3,3787,102,3697,27593,571,39,97,1313,301,327,322,257,239,25.8,211,34.5,34.3,16.4,18,1096,35,16.6,21,122
Coolringdon,36,17,17.08,-36.2881,148,57,45.81,148.9627,Basalt Hill,ROCK OUTCROP,6.4,26.89,6.26,9387,366,661,10517,4998,<LOD,59,462,308,79,143,68,4.9,15.6,43.4,437,32.4,54.6,<LOD,447,25,16.7,16,76
